pair_id,field,value_a,value_b,relationship,confidence,notes
P001,use_case,decentralized AI inference,decentralized AI inference/agents,exact_synonym,medium,
P002,ai_component,AI assistant for graph building (OpenAI-based),"meta-agentic orchestration, demos",unrelated,high,
P003,use_case,no-code AI agent creation + launch,no-code AI agents,near_synonym,high,
P004,ai_component,AI features/AI products in ecosystem,positioning only (AI apps infrastructure),related_but_distinct,medium,
P005,use_case,smart contracts with verifiable AI inference,trustless AI-API results for smart contracts,related_but_distinct,high,
P006,use_case,DeFi operations via integrations + aggregation,on-chain games/tournaments/NFT activities on Base,unrelated,high,
P007,ai_component,AI agent launch platform,AI data (lineage + metering + royalties),unrelated,high,
P008,ai_component,AI agents for sports forecasts/reports,ML models for sports forecasting,near_synonym,high,
P009,ai_component,AI agent marketplace + AI services,AI agents marketplace,near_synonym,high,
P010,ai_component,AI agents for Web3,LLM agents for Web3 tasks,exact_synonym,medium,
P011,use_case,AI insights/signals for trading + research,airdrops + lottery + NFT collectibles,unrelated,high,
P012,ai_component,autonomous AI agent,platform for autonomous AI agents,near_synonym,medium,
P013,use_case,DeFi strategy automation,DeFi strategy automation + copy trading,near_synonym,high,
P014,use_case,trading automation,trading operations automation,near_synonym,high,
P015,ai_component,"positioning only (""AI agents"")","positioning only (""AI"" analytics)",related_but_distinct,medium,
P016,use_case,"analysis/chat, trading tools",video/image generation + video agents,unrelated,high,
P017,use_case,autonomous agents for DeFi,programmable compliance for on-chain execution,unrelated,medium,
P018,ai_component,ML/AI strategies + portfolio scoring,multi-agent LLM (game generation + testing),unrelated,high,
P019,ai_component,"AI agents (""AI Epals"")",AI services,related_but_distinct,high,
P020,ai_component,GPU marketplace for AI/ML workloads,compute marketplace for AI/ML workloads,exact_synonym,high,
P021,use_case,AI agent creation + deployment,deploy + run AI agents,near_synonym,high,
P022,ai_component,AI agent marketplace + AI services,AI services,near_synonym,medium,
P023,ai_component,AI agents for Web3,AI agents for Web3 workflows,near_synonym,high,
P024,ai_component,autonomous AI agent,autonomous AI agents + agent services,near_synonym,high,
P025,ai_component,AI agent + model marketplace,AI agents marketplace,near_synonym,medium,
P026,ai_component,AI agents applicability,AI applicability for AI agents/dApps,near_synonym,high,
P027,use_case,memecoin,memecoin / token,near_synonym,high,
P028,use_case,meme community token,meme token,near_synonym,high,
P029,ai_component,AI agents/bots for trading,AI/ML signals + models for trading,near_synonym,high,
P030,ai_component,GPU rentals + AI/ML tools,GPU rentals for AI workloads,near_synonym,high,
P031,use_case,lead exchange in a network/platform,meme token,unrelated,high,
P032,ai_component,"positioning only (""AI agents"")",positioning only (AI toolkit),near_synonym,medium,
P033,use_case,SPL token,SPL token on Solana,near_synonym,medium,
P034,ai_component,BCI neurofeedback + AI,voice AI agents for phone calls,unrelated,high,
P035,use_case,market analysis + trading automation,trading automation,near_synonym,high,
P036,use_case,AI community meme token,meme community token,near_synonym,medium,
P037,ai_component,voice-enabled AI agents,voice-enabled AI agents + voice models,near_synonym,high,
P038,ai_component,cloud infrastructure for AI workloads,compute infrastructure for AI workloads,near_synonym,high,
P039,ai_component,decentralized AI agent network + cell services,decentralized GPU cloud + data agent,unrelated,medium,
P040,use_case,inference marketplace,yield farming automation via vault strategies,unrelated,high,
P041,use_case,agents for Telegram / assistants,compute marketplace + orchestration,unrelated,high,
P042,use_case,build apps + workflows + smart contracts,data labeling marketplace + dataset trading,unrelated,high,
P043,ai_component,GPU rentals for AI workloads,GPU rentals for AI workloads; AI API endpoints,near_synonym,high,
P044,ai_component,"""AI powered"" SaaS products (marketing/content/research)","GPU rentals, decentralized AI infrastructure",unrelated,high,
P045,use_case,ML analytics + forecasting tools,market analytics + forecasting signals,near_synonym,medium,
P046,ai_component,AI agents/bots for trading,AI assistant/bot for trading,near_synonym,high,
P047,ai_component,AI-influencers + FameEngine,generative AI art engine + Telegram bot,related_but_distinct,medium,
P048,use_case,L1 infrastructure,blockchain infrastructure,exact_synonym,medium,
P049,ai_component,AI search/analytics,CV/ML road event detection from video,unrelated,high,
P050,ai_component,AI coach / workout personalization (feature),GPU/edge infrastructure for AI workloads,unrelated,high,
P051,ai_component,AI service/tools,AI services,near_synonym,high,
P052,ai_component,decentralized AI agents marketplace,"robotics foundation models, data foundry",unrelated,high,
P053,use_case,AI agent creation + launch,launch + manage AI agents,near_synonym,high,
P054,ai_component,AI wealth manager agent + investment committee simulation room,ML smart contract vulnerability analysis,unrelated,high,
P055,ai_component,GPU/edge infrastructure for AI workloads,cloud infrastructure for AI workloads,near_synonym,high,
P056,ai_component,real-world data context for AI apps,swarm/federated-style model training across hospitals,related_but_distinct,low,
P057,use_case,decentralized GPU marketplace (inference),decentralized cloud + GPU marketplace,near_synonym,high,
P058,ai_component,compute marketplace + AI agents + AI marketplace,compute marketplace + AI model hub,near_synonym,medium,
P059,use_case,build + deploy + monitor AI agents,build + deploy AI agents,near_synonym,high,
P060,ai_component,AI assistant/agents for DeFi operations,NL assistant/agents for DeFi operations,near_synonym,high,
P061,use_case,AI agent creation + launch,no-code AI agent creation + launch,near_synonym,high,
P062,ai_component,AI agents marketplace,decentralized AI agents marketplace,near_synonym,high,
P063,use_case,AI agent creation + launch,AI agent creation + use,related_but_distinct,medium,launch и use — это разные этапы
P064,ai_component,autonomous AI agent,autonomous AI agent framework,related_but_distinct,medium,
P065,ai_component,ML models for market analysis,predictive ML models for market analytics,exact_synonym,high,
P066,use_case,SPL token on Solana,token on Solana,exact_synonym,high,
P067,use_case,AI game + tokenized economy,tokenized game economy,related_but_distinct,medium,без AI — это другое
P068,ai_component,"AI/ML for NFT forensics (wash trade, forgery, valuation)",Physical AI,unrelated,high,
P069,use_case,decentralized data storage,decentralized storage + delivery of data/content,near_synonym,high,
P070,use_case,AI assistant for crypto trading,AI assistant for crypto trading + portfolios,near_synonym,high,
P071,ai_component,AI applicability for AI agents/dApps,"API for LLMs, embeddings, image generation",related_but_distinct,low,
P072,use_case,programmable compliance for on-chain execution,smart contract vulnerability scanning,near_synonym,medium,оба про безопасность контрактов
P073,ai_component,AgentData (real-time data streams for AI agents),real-time data for AI agents,exact_synonym,high,
P074,ai_component,AI analytics + automated trade execution,AI appraisal + Art AI agent for tokenization,unrelated,high,
P075,use_case,develop + launch autonomous agents,training medical models with privacy preservation,unrelated,high,
P076,use_case,hashpower marketplace + validator staking,token generation + deployment via AI,unrelated,high,
P077,ai_component,AI/ML crypto market analytics (app),ML/AI analytics for agriculture,related_but_distinct,high,
P078,use_case,AI content creation,AI content creation (mobile app),near_synonym,high,
P079,use_case,market analytics + forecasting signals,sports analytics + forecasting,related_but_distinct,medium,
P080,ai_component,AI coach / workout personalization (feature),predictive intelligence,unrelated,medium,
P081,ai_component,AI agent,autonomous AI agent,near_synonym,high,
P082,use_case,L1 for dApps (including AI apps),L1 for dApps + AI agents/AI apps,exact_synonym,medium,
P083,use_case,"chat, agents, API, launching AI solutions",create/launch AI agents + chats,near_synonym,medium,
P084,use_case,content generation + digital assets,on-chain economy for AI agents + their communities,unrelated,medium,
P085,use_case,memecoin / community token,memecoin / token,near_synonym,high,
P086,use_case,inference/RAG infrastructure for conversational AI,on-chain investigations (clusters/funds/insights),unrelated,high,
P087,use_case,trading algorithm automation,trading automation,near_synonym,high,
P088,ai_component,GPU marketplace for AI/ML workloads,GPU/compute for AI/ML workloads,near_synonym,high,
P089,ai_component,AI agents for Web3 workflows,AI agents for Web3 workflows (agentic wallet),near_synonym,high,
P090,use_case,GPU compute + AI tools,"compute for AI, GPU marketplace",near_synonym,high,
P091,ai_component,AI agent for trading actions,infrastructure for running autonomous AI agents,near_synonym,medium,
P092,ai_component,GPU/edge infrastructure for AI workloads,compute infrastructure for AI workloads,near_synonym,high,
P093,use_case,crypto analytics,crypto analytics + data API,near_synonym,high,
P094,use_case,DeFi automation + agents,DeFi automation + analytics,near_synonym,medium,
P095,ai_component,positioning only,"positioning only (""AI agents"")",near_synonym,high,
P096,ai_component,"agent population, mutation + selection",reinforcement-learning trading agents + MCP marketplace,near_synonym,low,
P097,use_case,create/deploy tokenized AI agents,deploy + trade tokenized AI agents,near_synonym,high,
P098,use_case,social + payments app with token,token/community; product link not established,unrelated,medium,
P099,use_case,meme community token,memecoin / community token,near_synonym,high,
P100,use_case,AI inference marketplace + decentralized compute,decentralized compute marketplace,near_synonym,high,
P101,use_case,AI agent creation + launch,"create, launch + interact with AI agents",near_synonym,high,
P102,ai_component,positioning only (AI toolkit),positioning only (AI tools/community),near_synonym,high,
P103,ai_component,AI agent + model marketplace,AI agent marketplace + AI services,near_synonym,high,
P104,use_case,art/IP RWA tokenization + incentive economy,data storage infrastructure,unrelated,high,
P105,ai_component,AI integration for immersive experience,execution/coordination infrastructure for AI agents,related_but_distinct,low,
P106,use_case,decentralized environmental data network,no-code AI agents,unrelated,high,
P107,use_case,ERC-20 memecoin token,on-chain attribution + rewards for AI datasets,unrelated,high,
P108,use_case,meme community token,meme community token (Solana),near_synonym,high,
P109,ai_component,GPU rentals + AI/ML tools,sports analytics predictions,unrelated,high,
